n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
2048,2048,46,0.949122428894043,,0.2812347412109375,,96.0,,,0.2351217269897461,,18431,6143.666666666667,0.0009765625,0.0014647642771402996,False,False,False
4096,4096,42,1.7988615036010742,,0.5625,,384.0,,,0.4695253372192383,,36864,12288.0,0.00048828125,0.000732421875,False,False,False
4096,4096,43,1.7479426860809326,,0.5625,,384.0,,,0.4695253372192383,,36864,12288.0,0.00048828125,0.000732421875,False,False,False
4096,4096,44,1.7699906826019287,,0.5624847412109375,,384.0,,,0.4695138931274414,,36863,12287.666666666666,0.00048828125,0.0007324020067850748,False,False,False
4096,4096,45,1.7588236331939697,,0.562469482421875,,384.0,,,0.46950244903564453,,36862,12287.333333333334,0.00048828125,0.0007323821385701498,False,False,False
4096,4096,46,1.7608892917633057,,0.562469482421875,,384.0,,,0.46950244903564453,,36862,12287.333333333334,0.00048828125,0.0007323821385701498,False,False,False
8192,8192,42,3.4837493896484375,,1.1249847412109375,,1536.0,,,0.9382724761962891,,73727,24575.666666666668,0.000244140625,0.00036620597044626874,False,False,False
8192,8192,43,3.401857376098633,,1.1249847412109375,,1536.0,,,0.9382724761962891,,73727,24575.666666666668,0.000244140625,0.00036620597044626874,False,False,False
8192,8192,44,3.4031739234924316,,1.1249542236328125,,1536.0,,,0.9382495880126953,,73725,24575.0,0.000244140625,0.00036619603633880615,False,False,False
8192,8192,45,3.398350954055786,,1.1249542236328125,,1536.0,,,0.9382495880126953,,73725,24575.0,0.000244140625,0.00036619603633880615,False,False,False
8192,8192,46,3.4041764736175537,,1.1249542236328125,,1536.0,,,0.9382495880126953,,73725,24575.0,0.000244140625,0.00036619603633880615,False,False,False
16384,16384,42,6.760928392410278,,2.24993896484375,,6144.0,,,1.875767707824707,,147452,49150.666666666664,0.0001220703125,0.0001831005016962687,False,False,False
16384,16384,43,6.693293333053589,,2.249969482421875,,6144.0,,,1.8757905960083008,,147454,49151.333333333336,0.0001220703125,0.00018310298522313437,False,False,False
16384,16384,44,6.764974117279053,,2.2499542236328125,,6144.0,,,1.875779151916504,,147453,49151.0,0.0001220703125,0.00018310174345970154,False,False,False
16384,16384,45,6.7589147090911865,,2.24993896484375,,6144.0,,,1.875767707824707,,147452,49150.666666666664,0.0001220703125,0.0001831005016962687,False,False,False
16384,16384,46,6.841015338897705,,2.24993896484375,,6144.0,,,1.875767707824707,,147452,49150.666666666664,0.0001220703125,0.0001831005016962687,False,False,False
32768,32768,42,13.351293802261353,,4.499908447265625,,24576.0,,,3.750748634338379,,294906,98302.0,6.103515625e-05,9.155087172985077e-05,False,False,False
32768,32768,43,13.345387935638428,,4.499908447265625,,24576.0,,,3.750748634338379,,294906,98302.0,6.103515625e-05,9.155087172985077e-05,False,False,False
