n_nodes,seed,n_train,n_test,train_time,inference_time,total_time,test_rmse,noise_variance,modulator_l2
65536,44,39321,13108,13.583266258239746,0.30274534225463867,13.886011600494385,0.6076446175575256,0.07631364464759827,2.9203217
65536,45,39321,13108,11.464520931243896,0.19587182998657227,11.660392761230469,0.6735430955886841,0.4604595899581909,2.8937583
65536,46,39321,13108,11.545458316802979,0.18919849395751953,11.734656810760498,0.6740958094596863,0.47357115149497986,3.166161
131072,42,78643,26215,35.09832525253296,0.6972384452819824,35.79556369781494,0.6093072891235352,0.036149874329566956,2.7273355
131072,43,78643,26215,37.36694598197937,0.8168685436248779,38.18381452560425,0.6091935038566589,0.015161430463194847,2.7042406
131072,44,78643,26215,23.49009919166565,0.38545846939086914,23.87555766105652,0.6715469360351562,0.47463664412498474,3.0514197
131072,45,78643,26215,25.842498302459717,0.574859619140625,26.417357921600342,0.5997686386108398,0.06833726167678833,2.4608622
131072,46,78643,26215,35.87023162841797,0.7818276882171631,36.65205931663513,0.6120352745056152,0.025194041430950165,2.7854114
262144,42,157286,52430,46.688528060913086,0.8535573482513428,47.54208540916443,0.6038888692855835,0.15185855329036713,2.4811547
262144,43,157286,52430,45.61859488487244,0.7486531734466553,46.36724805831909,0.7646973133087158,0.8137329816818237,2.8280237
262144,44,157286,52430,50.26816534996033,1.1224696636199951,51.39063501358032,0.6025286316871643,0.10841688513755798,2.8842402
262144,45,157286,52430,80.99885821342468,1.7051970958709717,82.70405530929565,0.6160334944725037,0.01601816527545452,2.589691
262144,46,157286,52430,78.86474704742432,1.6485493183135986,80.51329636573792,0.6158040165901184,0.01758686453104019,2.77027
524288,42,314572,104859,91.76753330230713,1.4894835948944092,93.25701689720154,0.7211043834686279,0.610935628414154,2.7067864
524288,43,314572,104859,112.34010457992554,2.562892198562622,114.90299677848816,0.6015605330467224,0.05597161501646042,2.6977758
524288,44,314572,104859,165.78261065483093,3.1941847801208496,168.97679543495178,0.6129022240638733,0.021084336563944817,2.6762843
524288,45,314572,104859,95.88444805145264,1.4914662837982178,97.37591433525085,0.9844579100608826,0.6545853018760681,1.7279465
524288,46,314572,104859,92.5844304561615,1.5995309352874756,94.18396139144897,0.6230681538581848,0.2734312117099762,2.7560928
1048576,42,629145,209716,324.14563727378845,5.958278179168701,330.10391545295715,0.6078260540962219,0.027247624471783638,2.5826745
