iteration,best_value,best_point,regret,dataset_size,batch_mean,batch_max,algorithm,dataset,bo_seed,bo_run,ground_truth_best,n_nodes,n_edges,density
17,1.7372902710521347,41441,8.050203805705388,22,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
18,1.7372902710521347,41441,8.050203805705388,23,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
19,1.7372902710521347,41441,8.050203805705388,24,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
20,1.7372902710521347,41441,8.050203805705388,25,-0.0067940766801022085,-0.0067940766801022085,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
21,1.7372902710521347,41441,8.050203805705388,26,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
22,1.7372902710521347,41441,8.050203805705388,27,-0.0067940766801022085,-0.0067940766801022085,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
23,1.7372902710521347,41441,8.050203805705388,28,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
24,1.7372902710521347,41441,8.050203805705388,29,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
25,1.7372902710521347,41441,8.050203805705388,30,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
26,1.7372902710521347,41441,8.050203805705388,31,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
27,1.7372902710521347,41441,8.050203805705388,32,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
28,1.7372902710521347,41441,8.050203805705388,33,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
29,1.7372902710521347,41441,8.050203805705388,34,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
30,1.7372902710521347,41441,8.050203805705388,35,0.40802687595301684,0.40802687595301684,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
31,1.7372902710521347,41441,8.050203805705388,36,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
32,1.7372902710521347,41441,8.050203805705388,37,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
33,1.7372902710521347,41441,8.050203805705388,38,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
34,1.7372902710521347,41441,8.050203805705388,39,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
35,1.7372902710521347,41441,8.050203805705388,40,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
36,1.7372902710521347,41441,8.050203805705388,41,-0.7159349590514417,-0.7159349590514417,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
37,1.7372902710521347,41441,8.050203805705388,42,-0.0067940766801022085,-0.0067940766801022085,random_search,youtube,100,1,9.787494076757524,1134890,2987624,4.639256625391026e-06
