graph_size,beta_exp,seed,data_fit,complexity,constant
160,0.01,2,[[-91.61265744]],-0.007968530399183587,-147.0301653127476
160,0.01,3,[[-74.7464728]],0.9180583689054782,-147.0301653127476
160,0.01,4,[[-77.39709594]],6.6839015563078465,-147.0301653127476
160,0.1,0,[[-79.94799107]],4.4622245818042,-147.0301653127476
160,0.1,1,[[-79.46126311]],23.83570088518253,-147.0301653127476
160,0.1,2,[[-83.61313773]],-0.007860841829820537,-147.0301653127476
160,0.1,3,[[-74.89006279]],8.270451368595925,-147.0301653127476
160,0.1,4,[[-77.4168313]],13.905858250326546,-147.0301653127476
160,1.0,0,[[-80.94889292]],77.40126692326565,-147.0301653127476
160,1.0,1,[[-78.53710264]],94.65327186500033,-147.0301653127476
160,1.0,2,[[-79.30259924]],67.77352322858425,-147.0301653127476
160,1.0,3,[[-76.63103812]],82.16162820911609,-147.0301653127476
160,1.0,4,[[-77.75992387]],86.28113054344666,-147.0301653127476
160,10.0,0,[[-76.57978338]],651.38894859551,-147.0301653127476
160,10.0,1,[[-80.53163454]],649.1499324725378,-147.0301653127476
160,10.0,2,[[-77.25418817]],645.2395125416684,-147.0301653127476
160,10.0,3,[[-82.20995549]],637.6689722165461,-147.0301653127476
160,10.0,4,[[-86.78916615]],642.284835416178,-147.0301653127476
