graph_size,beta_exp,seed,degree,data_fit,complexity,constant,fro
20,0.1,0,5,[[-9.99929707]],6.785702092300212,-18.37877066409345,0.7834285978841465
20,0.1,0,6,[[-10.03825979]],5.593258652706785,-18.37877066409345,0.8758950194151288
20,0.1,0,7,[[-10.00044137]],7.767217111036092,-18.37877066409345,0.8171202092354822
20,0.1,0,8,[[-10.0006249]],7.865842591187076,-18.37877066409345,0.7843565942350167
20,0.1,0,9,[[-9.99023287]],7.673726213177206,-18.37877066409345,0.7727917979684175
20,0.1,0,10,[[-10.0347626]],6.6929711552708895,-18.37877066409345,0.8716061683685353
20,0.1,1,1,[[-10.00000286]],-0.9385913827043496,-18.37877066409345,0.08950861032928115
20,0.1,1,2,[[-10.00001946]],0.09457781355557457,-18.37877066409345,0.33565810800575774
20,0.1,1,3,[[-10.00000179]],0.09549400582589339,-18.37877066409345,0.3270318545492941
20,0.1,1,4,[[-9.99998814]],0.09715186531134258,-18.37877066409345,0.33139199745509396
20,0.1,1,5,[[-10.000371]],0.09745911779569476,-18.37877066409345,0.33068574318325
20,0.1,1,6,[[-9.99964491]],0.10861739214985669,-18.37877066409345,0.3318216893957639
20,0.1,1,7,[[-9.99993897]],0.11156874576425417,-18.37877066409345,0.33282759739845946
20,0.1,1,8,[[-10.00057032]],0.11657490388620168,-18.37877066409345,0.3336436487308264
20,0.1,1,9,[[-9.99918291]],0.10361169767657874,-18.37877066409345,0.9830473160404667
20,0.1,1,10,[[-9.99935688]],0.13412211743205207,-18.37877066409345,0.3339900388551451
20,0.1,2,1,[[-10.00000305]],-1.0302863752414713,-18.37877066409345,0.09782047349073177
20,0.1,2,2,[[-10.00000807]],-0.9413776718024651,-18.37877066409345,0.15948130080097445
20,0.1,2,3,[[-9.9999582]],-0.9388084376636809,-18.37877066409345,0.15833323647425881
20,0.1,2,4,[[-9.99996945]],-0.39792066463434766,-18.37877066409345,0.4380170405608298
20,0.1,2,5,[[-9.99988328]],1.90650851577214,-18.37877066409345,0.5518087743653574
20,0.1,2,6,[[-9.9996128]],1.8437714242242997,-18.37877066409345,0.5807662122548617
20,0.1,2,7,[[-9.99995254]],1.9289724874745848,-18.37877066409345,0.5044202674125927
20,0.1,2,8,[[-9.99967916]],1.8879305999820555,-18.37877066409345,0.5104420710418769
20,0.1,2,9,[[-9.99985014]],1.8342699553914625,-18.37877066409345,0.5184630197195593
20,0.1,2,10,[[-10.00156768]],1.7701889077485058,-18.37877066409345,0.5287538018200184
20,0.1,3,1,[[-9.99999999]],1.6102209968671217,-18.37877066409345,0.09303452894923218
20,0.1,3,2,[[-9.99996008]],1.9984101116290378,-18.37877066409345,0.2786302889437591
20,0.1,3,3,[[-10.00000024]],2.000244464503405,-18.37877066409345,0.2704330333888303
20,0.1,3,4,[[-10.00009488]],2.0204412446731546,-18.37877066409345,0.2708864045916546
20,0.1,3,5,[[-9.99993289]],2.442167974688424,-18.37877066409345,0.46237638422617566
20,0.1,3,6,[[-9.99948174]],4.258900065006024,-18.37877066409345,0.8538986870273967
20,0.1,3,7,[[-9.99962498]],4.155729051100074,-18.37877066409345,0.8711099564676426
20,0.1,3,8,[[-9.9999752]],4.035805579408405,-18.37877066409345,0.8803072142833782
20,0.1,3,9,[[-10.00072938]],4.926979120611197,-18.37877066409345,0.5066959547951223
20,0.1,3,10,[[-10.00274598]],5.129967885175185,-18.37877066409345,0.5004627148469633
20,0.1,4,1,[[-9.99999978]],6.0833583030509795,-18.37877066409345,0.22639447400415047
