n_nodes,n_edges,seed,sparse_rw_time,dense_rw_time,sparse_size_mb,dense_size_mb,sparse_dense_equiv_mb,compression_ratio,time_speedup,sparse_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_avg_nnz_per_matrix,graph_sparsity,step_matrix_sparsity,run_dense,is_feasible,has_dense_data
256,256,45,0.24488210678100586,0.8366072177886963,0.03515625,1.5,1.5,42.666666666666664,3.416367282958982,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
256,256,46,0.24378705024719238,0.8573033809661865,0.03515625,1.5,1.5,42.666666666666664,3.51660754784517,0.030029296875,1.5002803802490234,2304,768.0,0.0078125,0.01171875,True,True,True
512,512,42,0.40573954582214355,1.8744730949401855,0.0703125,6.0,6.0,85.33333333333333,4.619892525245403,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,43,0.3421781063079834,1.8870635032653809,0.0703125,6.0,6.0,85.33333333333333,5.5148575215005025,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,44,0.373349666595459,2.021766185760498,0.0703125,6.0,6.0,85.33333333333333,5.415208226102883,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,45,0.3509044647216797,1.8700671195983887,0.0703125,6.0,6.0,85.33333333333333,5.329277075689632,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
512,512,46,0.34119534492492676,1.8338298797607422,0.0703125,6.0,6.0,85.33333333333333,5.374721276353403,0.059326171875,6.000280380249023,4608,1536.0,0.00390625,0.005859375,True,True,True
1024,1024,42,0.58327317237854,4.361099720001221,0.140625,24.0,24.0,170.66666666666666,7.476942068528567,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,43,0.5316143035888672,3.9538509845733643,0.140625,24.0,24.0,170.66666666666666,7.437442818752937,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,44,0.5381448268890381,3.9925382137298584,0.140625,24.0,24.0,170.66666666666666,7.4190775684128125,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,45,0.5401871204376221,3.9617443084716797,0.140625,24.0,24.0,170.66666666666666,7.334022153771733,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
1024,1024,46,0.5775537490844727,3.954916000366211,0.140625,24.0,24.0,170.66666666666666,6.84770206519388,0.11792850494384766,24.000280380249023,9216,3072.0,0.001953125,0.0029296875,True,True,True
2048,2048,42,0.9636592864990234,,0.28125,,96.0,,,0.23513317108154297,,18432,6144.0,0.0009765625,0.00146484375,False,True,True
