seed,model,wpn,lml,mse_obs,rmse_obs,nlpd_obs,learned_noise_var,n_train,n_test
101,GRF-ablation(wpn=8),8.0,-2.388226980535876,0.0561885454177087,0.237041231471887,0.0491000602208811,0.0093367975625237,90,810
101,GRF(wpn=16),16.0,11.449972601017564,0.0560281773483508,0.2367027193514068,0.0741270605652746,0.0058936431687189,90,810
101,GRF-ablation(wpn=16),16.0,4.315186047858873,0.0558270936560472,0.236277577556668,0.0022423132174582,0.0092499386522246,90,810
101,GRF(wpn=32),32.0,12.105190061665112,0.0578990082883255,0.2406221275949606,0.0645391459104884,0.0063580483028773,90,810
101,GRF-ablation(wpn=32),32.0,5.48558497248689,0.0576028141260034,0.2400058626909006,0.006009064498364,0.0093338538360251,90,810
101,GRF(wpn=64),64.0,12.845141476867497,0.0582332661813271,0.2413156981659651,0.1664546862153871,0.005886608762353,90,810
101,GRF-ablation(wpn=64),64.0,10.286323460398648,0.0600752134993232,0.2451024551066823,0.0478446613259691,0.0092993373095077,90,810
101,GRF(wpn=128),128.0,11.436257611172664,0.0578957134604957,0.2406152810203369,0.1141909001254706,0.0063000090800756,90,810
101,GRF-ablation(wpn=128),128.0,12.619692040010309,0.0628743863061962,0.2507476546374786,0.1241608492558497,0.0092819253093006,90,810
101,GRF(wpn=256),256.0,13.10478295766876,0.0591135700766583,0.2431328239392172,0.1110709540084637,0.0066644304824286,90,810
101,GRF-ablation(wpn=256),256.0,13.375926666766231,0.067077839320113,0.2589938982295009,0.2377891139814037,0.0092688033768323,90,810
101,GRF(wpn=512),512.0,13.729467871501626,0.0603938783409618,0.2457516598946217,0.1105355258113727,0.0056426645166715,90,810
101,GRF-ablation(wpn=512),512.0,13.048107509865474,0.0673855689185578,0.2595873050026866,0.2511863679430277,0.0092859092619708,90,810
101,GRF(wpn=1024),1024.0,19.012528114880556,0.0640901991903674,0.2531604218482176,0.2249453085042449,0.0055457285298576,90,810
101,GRF-ablation(wpn=1024),1024.0,11.107712576453023,0.0616223079485967,0.2482384094949787,0.0665322544275566,0.0090972518073568,90,810
101,GRF(wpn=2048),2048.0,18.536746604978617,0.0675297920646495,0.2598649496654936,0.3309151742383464,0.0051671645544789,90,810
101,GRF-ablation(wpn=2048),2048.0,12.073719279591614,0.0648322139158059,0.2546217074717039,0.1380400699341023,0.0091766693981274,90,810
101,GRF(wpn=4096),4096.0,16.35171029269742,0.0647888584993443,0.2545365563123385,0.2256658170868422,0.0066002854953592,90,810
101,GRF-ablation(wpn=4096),4096.0,14.25754259522654,0.0701156134868551,0.2647935299187937,0.33403971511707,0.0090620847648385,90,810
101,GRF(wpn=8192),8192.0,18.245140468477445,0.0639321687454403,0.2528481139843451,0.2204808902684791,0.0055411503346023,90,810
101,GRF-ablation(wpn=8192),8192.0,4.286793437322743,0.0592336084880251,0.2433795564299211,0.0181338600447979,0.0093174554772951,90,810
102,Diffusion,,21.21988390845001,0.063529817071326,0.2520512191427093,0.3539215734829792,0.008619372481479,90,810
102,GRF(wpn=2),2.0,11.080663851344768,0.1126665827687689,0.3356584316962244,0.0461517186420283,0.0067323050222752,90,810
102,GRF-ablation(wpn=2),2.0,-12.62031071424687,0.0463975727344515,0.2154009580629843,0.1482100792284337,0.0093448381534401,90,810
102,GRF(wpn=4),4.0,-0.0507909139857361,0.0491069902922462,0.22160097087388,-0.0061784452516814,0.0093497483481206,90,810
102,GRF-ablation(wpn=4),4.0,1.328090945114937,0.0466489636741924,0.2159837115946303,-0.0156987612931285,0.0093038683294261,90,810
102,GRF(wpn=8),8.0,10.7298105545935,0.0479565722706613,0.2189898907955829,-0.0411848425626187,0.0091905116884959,90,810
102,GRF-ablation(wpn=8),8.0,-2.8247643279750605,0.0487859612767449,0.2208754429010725,0.0091607829369706,0.0090839843608224,90,810
102,GRF(wpn=16),16.0,6.6925107235656185,0.0495690005212734,0.2226409677513855,-0.0180664569259946,0.0092873753485529,90,810
102,GRF-ablation(wpn=16),16.0,10.999294873282352,0.0527158405262796,0.2295993042809139,-0.0341470435130424,0.0093145779376552,90,810
102,GRF(wpn=32),32.0,14.300418068592876,0.0466178553733374,0.2159116841982792,-0.0185008162140397,0.0063630633670267,90,810
102,GRF-ablation(wpn=32),32.0,14.593349377584588,0.0526321632695308,0.2294170073676554,-0.034788591625257,0.0093363427057894,90,810
102,GRF(wpn=64),64.0,14.4130122697903,0.0481822966000128,0.2195046619095204,0.0239892775989538,0.0064058038258973,90,810
102,GRF-ablation(wpn=64),64.0,17.194892670138927,0.0527173464533816,0.2296025837254049,-0.0302733569016123,0.0093049905570368,90,810
102,GRF(wpn=128),128.0,17.643936625082304,0.0504001372418786,0.224499748868186,0.0027776696676657,0.005734069105847,90,810
102,GRF-ablation(wpn=128),128.0,22.18271590155496,0.0585678595804378,0.2420079742083675,0.1197857885738748,0.0091853550706679,90,810
