seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1111,A-GRF,16.0,-352.5322454196554,14.685012594082949,97.58098455511109,,,0.4131314517281905
1111,A-GRF,32.0,-350.5569358984331,14.51758301215098,100.9984879257265,,,0.3162662846304779
1111,A-GRF,64.0,-347.6847369959383,14.590414983195844,102.15617752223191,,,0.2118307908329942
1111,A-GRF,128.0,-350.05342768658403,15.076812251832584,97.25347716690874,,,0.0677777404827344
1111,A-GRF,256.0,-346.76110934866074,14.532764684186732,97.294760164054,,,0.0667969977286641
1111,A-GRF,512.0,-335.4404379269501,14.089116467882116,93.62716270262436,,,0.0617603818809575
1111,A-GRF,1024.0,-336.77364591909014,14.063858321073049,95.17469677620544,,,0.06456243104455
1111,A-GRF,2048.0,-334.1940612841094,14.168144302481526,95.51405986055047,,,0.059925388490314
1111,A-GRF,4096.0,-336.27255303464807,14.006324532441097,92.9186978979939,,,0.0608105907059579
1111,A-GRF,8192.0,-334.230625092898,13.385986454629036,90.53658624597668,,,0.0587655131551451
1112,PoFM,,-341.7203879685948,14.922790700309786,95.84968757907676,2.164246186308817,1.5212037711571902,0.1282827066774798
1112,Diffusion,,-346.7688002814512,15.23771795760454,105.18548631129696,2.164246186308817,1.5212037711571902,0.1282827066774797
1112,GRF,1.0,-354.73463267622293,16.793993169324654,104.69862683412482,2.1405162001393195e-06,0.9487341579189934,0.0999062959580281
1112,GRF,2.0,-354.8939844555146,16.64788945276486,103.63452524776793,1.184707942556845,0.4282021889362407,0.7306977512823338
1112,GRF,4.0,-354.9310571245708,16.820467261422746,105.43239837281376,2.1952496965422643,0.1494188998847975,0.8485362920136016
1112,GRF,8.0,-354.1930927703621,16.70267622769119,104.51170366173022,0.1487147004929901,1.0146308427088857,0.1001140043377479
1112,GRF,16.0,-351.40543527805323,16.474074435186772,102.58839029390153,0.4476866753267543,1.1528663582872227,0.0994474949462619
1112,GRF,32.0,-349.290419075075,16.325459068151325,103.85264773501616,0.7040699130922752,1.2467769629543628,0.1011381494814255
1112,GRF,64.0,-350.56503527830813,16.383201932730305,103.28984220785404,0.6134543608540975,1.2136297059327947,0.1006444030011091
1112,GRF,128.0,-345.8082853246215,16.047131043678917,104.24860847421245,1.1180921175204768,1.3899139101216642,0.103398694315852
1112,GRF,256.0,-348.3413466663374,15.962599150756049,102.18591841282137,0.9741189170134124,1.3474810935686008,0.1014416935320205
1112,GRF,512.0,-346.58779591961303,16.116192496126747,102.94271549514478,1.1174202710261352,1.3747871191812375,0.1136744694346152
1112,GRF,1024.0,-343.06320572927154,15.84291168718685,100.0272919904807,1.8391136893439637,1.5446400604264292,0.1069870262130604
1112,GRF,2048.0,-345.95689858185875,15.767451174384671,101.73654020344928,1.3681178338823736,1.4402999254152435,0.1224462796083332
1112,GRF,4096.0,-344.5236923979114,14.967857948727858,96.64507105021724,2.0848066482945584,1.5410577149569047,0.1274562298717049
1112,GRF,8192.0,-342.46722951782283,15.003323907137888,96.54007261059856,2.104154192371475,1.5464005376383485,0.1083023691502127
1112,A-GRF,1.0,-351.1307462824941,17.008765078313594,104.04557667903865,,,0.0995364024779072
1112,A-GRF,2.0,-350.276188595426,16.615660544713617,102.83081484514716,,,0.0982035332190687
1112,A-GRF,4.0,-352.9901838154423,16.704137320284584,104.19293569694916,,,0.1005347164742876
1112,A-GRF,8.0,-355.1072571171462,16.722882820369094,102.06813754893018,,,0.724030764908753
1112,A-GRF,16.0,-350.7816997355308,15.6717593433012,100.72648159585827,,,0.4182613256678145
1112,A-GRF,32.0,-347.03498278901634,16.46964227908804,104.9603994805354,,,0.1011819894613814
1112,A-GRF,64.0,-347.3003578893264,15.127975652459694,98.9064447602454,,,0.3143622497605817
1112,A-GRF,128.0,-348.3098447486978,15.08985950649654,96.14664834276238,,,0.1544517532700453
1112,A-GRF,256.0,-346.62605539577635,15.162619447669934,96.57060795954996,,,0.1749140104472919
1112,A-GRF,512.0,-334.4389049774622,15.013607664965292,96.59719384925825,,,0.1002743305268955
1112,A-GRF,1024.0,-336.5854734896831,14.982358098864475,99.83360814514656,,,0.0896264616958737
1112,A-GRF,2048.0,-333.526666139431,15.488969694304345,101.35087063690204,,,0.0832168299379245
